2025-12-07 19:32:47,049 - INFO - Logging setup complete. Log file: /Users/adarshainamdar/Downloads/Major_Project-main/outputs/logs/training_pipeline.log
2025-12-07 20:05:43,893 - INFO - Epoch 15 | Val Type Acc: 0.9427
2025-12-07 20:05:48,607 - INFO - Epoch 16 | Val Type Acc: 0.8958
2025-12-07 20:05:53,280 - INFO - Epoch 17 | Val Type Acc: 0.9062
2025-12-07 20:05:57,986 - INFO - Epoch 18 | Val Type Acc: 0.9167
2025-12-07 20:06:02,687 - INFO - Epoch 19 | Val Type Acc: 0.9062
2025-12-07 20:06:07,385 - INFO - Epoch 20 | Val Type Acc: 0.9375
2025-12-07 20:06:12,103 - INFO - Epoch 21 | Val Type Acc: 0.9167
2025-12-07 20:06:16,721 - INFO - Epoch 22 | Val Type Acc: 0.9375
2025-12-07 20:06:21,443 - INFO - Epoch 23 | Val Type Acc: 0.9375
2025-12-07 20:06:26,099 - INFO - Epoch 24 | Val Type Acc: 0.9219
2025-12-07 20:06:30,883 - INFO - Epoch 25 | Val Type Acc: 0.9531
2025-12-07 20:06:35,565 - INFO - Epoch 26 | Val Type Acc: 0.9583
2025-12-07 20:06:40,384 - INFO - Epoch 27 | Val Type Acc: 0.9167
2025-12-07 20:06:45,065 - INFO - Epoch 28 | Val Type Acc: 0.9062
2025-12-07 20:06:49,734 - INFO - Epoch 29 | Val Type Acc: 0.9583
2025-12-07 20:06:54,373 - INFO - Epoch 30 | Val Type Acc: 0.9115
2025-12-07 20:06:59,095 - INFO - Epoch 31 | Val Type Acc: 0.9167
2025-12-07 20:07:03,744 - INFO - Epoch 32 | Val Type Acc: 0.8906
2025-12-07 20:07:08,414 - INFO - Epoch 33 | Val Type Acc: 0.9635
2025-12-07 20:07:13,109 - INFO - Epoch 34 | Val Type Acc: 0.9688
2025-12-07 20:07:18,786 - INFO - Epoch 35 | Val Type Acc: 0.9375
2025-12-07 20:07:23,544 - INFO - Epoch 36 | Val Type Acc: 0.8958
2025-12-07 20:07:28,455 - INFO - Epoch 37 | Val Type Acc: 0.8906
2025-12-07 20:07:34,392 - INFO - Epoch 38 | Val Type Acc: 0.9427
2025-12-07 20:07:39,421 - INFO - Epoch 39 | Val Type Acc: 0.9375
2025-12-07 20:07:44,356 - INFO - Epoch 40 | Val Type Acc: 0.9427
2025-12-07 20:07:49,603 - INFO - Epoch 41 | Val Type Acc: 0.9219
2025-12-07 20:07:54,219 - INFO - Epoch 42 | Val Type Acc: 0.9375
